Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.16     0.00        1     0.00     0.00  getSeq()
  0.00      0.16     0.00        1     0.00     0.00  makewt(int, int*, double*)
  0.00      0.16     0.00        1     0.00     0.00  getDesc()
  0.00      0.16     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::sqrt<int>(int)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 6.25% of 0.16 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     96.9    0.00    0.16                 main [1]
                0.00    0.11       1/1           load_configuration(char*) [3]
                0.01    0.03       1/1           optimized_isotopic_distribution(formula*, int) [5]
                0.00    0.00       3/171         is_verbose_mode_activated() [41]
                0.00    0.00       3/3           add_chains(char const*, char const*) [69]
                0.00    0.00       3/3           get_base_name() [70]
                0.00    0.00       2/4           is_decoy_mode_activated() [68]
                0.00    0.00       2/2           nextEntry(long*) [80]
                0.00    0.00       1/1           init_ascq_me_display() [110]
                0.00    0.00       1/3           is_fasta_chosen() [72]
                0.00    0.00       1/1           is_a_wanted_protein() [107]
                0.00    0.00       1/1           getSeq() [139]
                0.00    0.00       1/1           real_digest(char*) [87]
                0.00    0.00       1/1           get_formulae_of_peptides(int*) [121]
                0.00    0.00       1/1           get_current_peptide_score_save() [131]
                0.00    0.00       1/1           get_current_peptide_score_size() [132]
                0.00    0.00       1/1           get_theo_spectrum() [99]
                0.00    0.00       1/1           save_partial_peptide_scoring(double*, int) [129]
                0.00    0.00       1/1           getDesc() [141]
                0.00    0.00       1/1           add_protein(char*, char*, complex*, double) [84]
                0.00    0.00       1/3           free_n_formula(formula*, int) [71]
                0.00    0.00       1/1           fprintf_ascq_me_results(_IO_FILE*) [117]
                0.00    0.00       1/1           fprint_configuration(_IO_FILE*) [108]
                0.00    0.00       1/1           fprintf_ascq_me_results_table_form(_IO_FILE*) [134]
                0.00    0.00       1/1           ascq_me_configuration_cleaning() [130]
                0.00    0.00       1/1           ascq_me_cleaning() [93]
                0.00    0.00       1/1           fprintf_ascq_me_peptide_scoring(_IO_FILE*) [133]
-----------------------------------------------
                0.00    0.11      10/10          load_configuration(char*) [3]
[2]     71.3    0.00    0.11      10         load_string_keyword(_IO_FILE*, char const*) [2]
                0.08    0.03       1/1           init_distrib() [4]
                0.00    0.00       1/1           read_spectrum(char const*) [9]
                0.00    0.00      10/719         read_line(_IO_FILE*) [30]
                0.00    0.00       1/1           fastafopen(char const*, long*) [82]
-----------------------------------------------
                0.00    0.11       1/1           main [1]
[3]     71.3    0.00    0.11       1         load_configuration(char*) [3]
                0.00    0.11      10/10          load_string_keyword(_IO_FILE*, char const*) [2]
                0.00    0.00      28/2559        jump_commentaries(_IO_FILE*, char) [24]
                0.00    0.00       9/9           load_int_keyword(_IO_FILE*, char*) [61]
                0.00    0.00       6/6           load_float_keyword(_IO_FILE*, char*) [67]
                0.00    0.00       2/2           load_boolean_keyword(_IO_FILE*, char*) [75]
                0.00    0.00       1/1           tables_initialisation() [113]
                0.00    0.00       1/1           load_modifications(char const*) [103]
                0.00    0.00       1/1           init_util_digestion() [106]
                0.00    0.00       1/11          get_distribution_activation() [59]
-----------------------------------------------
                0.08    0.03       1/1           load_string_keyword(_IO_FILE*, char const*) [2]
[4]     71.0    0.08    0.03       1         init_distrib() [4]
                0.03    0.00 12236800/12736512     complex_multiplication(complex, complex) [6]
                0.00    0.00     164/171         is_verbose_mode_activated() [41]
                0.00    0.00       7/64          cdft(int, int, double*, int*, double*) [51]
                0.00    0.00       6/64          get_element_table_size() [50]
                0.00    0.00       6/64          get_element_table() [49]
                0.00    0.00       6/139         read_formula(char const*, element*, int) [43]
                0.00    0.00       6/44          free_formula(formula*) [55]
                0.00    0.00       1/1           __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::sqrt<int>(int) [142]
-----------------------------------------------
                0.01    0.03       1/1           main [1]
[5]     25.5    0.01    0.03       1         optimized_isotopic_distribution(formula*, int) [5]
                0.03    0.00      58/59          integral_normalization(double, int, complex*) [7]
                0.00    0.00  499712/12736512     complex_multiplication(complex, complex) [6]
                0.00    0.00    7353/36153       compute_correlation(int, complex*) [16]
                0.00    0.00     244/250         get_atom_quantity(char const*) [36]
                0.00    0.00     244/244         get_X_atom(char*) [38]
                0.00    0.00      93/93          is_equivalent_to_another(int) [47]
                0.00    0.00      90/374         copy_composition(composition*, int) [33]
                0.00    0.00      90/1061        get_weight(formula*) [29]
                0.00    0.00      90/469         free_composition(composition*, int) [31]
                0.00    0.00      57/64          cdft(int, int, double*, int*, double*) [51]
                0.00    0.00       3/171         is_verbose_mode_activated() [41]
-----------------------------------------------
                0.00    0.00  499712/12736512     optimized_isotopic_distribution(formula*, int) [5]
                0.03    0.00 12236800/12736512     init_distrib() [4]
[6]     21.9    0.04    0.00 12736512         complex_multiplication(complex, complex) [6]
-----------------------------------------------
                0.00    0.00       1/59          read_spectrum(char const*) [9]
                0.03    0.00      58/59          optimized_isotopic_distribution(formula*, int) [5]
[7]     18.8    0.03    0.00      59         integral_normalization(double, int, complex*) [7]
-----------------------------------------------
                                                 <spontaneous>
[8]      3.1    0.01    0.00                 complex_addition(complex, complex) [8]
-----------------------------------------------
                0.00    0.00       1/1           load_string_keyword(_IO_FILE*, char const*) [2]
[9]      0.3    0.00    0.00       1         read_spectrum(char const*) [9]
                0.00    0.00       1/59          integral_normalization(double, int, complex*) [7]
                0.00    0.00       1/2559        jump_commentaries(_IO_FILE*, char) [24]
                0.00    0.00       1/171         is_verbose_mode_activated() [41]
-----------------------------------------------
                0.00    0.00    7353/36153       optimized_isotopic_distribution(formula*, int) [5]
                0.00    0.00   28800/36153       fprintf_ascq_me_results_table_form(_IO_FILE*) [134]
[16]     0.0    0.00    0.00   36153         compute_correlation(int, complex*) [16]
-----------------------------------------------
                0.00    0.00   28802/28802       fprintf_ascq_me_results_table_form(_IO_FILE*) [134]
[17]     0.0    0.00    0.00   28802         get_step() [17]
-----------------------------------------------
                0.00    0.00   17098/17098       add_formula(formula*, formula*) [19]
[18]     0.0    0.00    0.00   17098         add_element(formula*, composition*) [18]
                0.00    0.00     604/1814        copy_one_element(element*) [28]
-----------------------------------------------
                0.00    0.00    1270/5370        get_formula_from_sequence(char*) [76]
                0.00    0.00    2050/5370        get_formulae_of_peptides(int*) [121]
                0.00    0.00    2050/5370        get_peptide_formula_from_index(int) [48]
[19]     0.0    0.00    0.00    5370         add_formula(formula*, formula*) [19]
                0.00    0.00   17098/17098       add_element(formula*, composition*) [18]
-----------------------------------------------
                0.00    0.00     150/3646        load_modifications(char const*) [103]
                0.00    0.00     719/3646        read_line(_IO_FILE*) [30]
                0.00    0.00    2777/3646        get_element_table(char const*, int*) [98]
[20]     0.0    0.00    0.00    3646         read_until(_IO_FILE*, char) [20]
                0.00    0.00    3646/3646        jump_blanks(_IO_FILE*) [21]
-----------------------------------------------
                0.00    0.00    3646/3646        read_until(_IO_FILE*, char) [20]
[21]     0.0    0.00    0.00    3646         jump_blanks(_IO_FILE*) [21]
-----------------------------------------------
                0.00    0.00      46/3284        fusion_peptide(peptide*, peptide*) [45]
                0.00    0.00     364/3284        digest() [138]
                0.00    0.00     638/3284        get_formula_from_sequence(char*) [76]
                0.00    0.00    1118/3284        get_formulae_of_peptides(int*) [121]
                0.00    0.00    1118/3284        get_peptide_formula_from_index(int) [48]
[22]     0.0    0.00    0.00    3284         get_util_formula(char const*) [22]
-----------------------------------------------
                0.00    0.00     317/2815        digest() [138]
                0.00    0.00     634/2815        get_formula_from_sequence(char*) [76]
                0.00    0.00     932/2815        get_formulae_of_peptides(int*) [121]
                0.00    0.00     932/2815        get_peptide_formula_from_index(int) [48]
[23]     0.0    0.00    0.00    2815         get_amino_acid(char) [23]
-----------------------------------------------
                0.00    0.00       1/2559        read_spectrum(char const*) [9]
                0.00    0.00      28/2559        load_configuration(char*) [3]
                0.00    0.00     100/2559        load_modifications(char const*) [103]
                0.00    0.00    2430/2559        get_element_table(char const*, int*) [98]
[24]     0.0    0.00    0.00    2559         jump_commentaries(_IO_FILE*, char) [24]
                0.00    0.00     510/2297        jump_a_line(_IO_FILE*) [25]
-----------------------------------------------
                0.00    0.00      50/2297        load_modifications(char const*) [103]
                0.00    0.00     510/2297        jump_commentaries(_IO_FILE*, char) [24]
                0.00    0.00    1737/2297        get_element_table(char const*, int*) [98]
[25]     0.0    0.00    0.00    2297         jump_a_line(_IO_FILE*) [25]
-----------------------------------------------
                0.00    0.00    1814/1814        copy_one_element(element*) [28]
[26]     0.0    0.00    0.00    1814         copy_isotop(isotop*, int) [26]
-----------------------------------------------
                0.00    0.00    1814/1814        free_composition(composition*, int) [31]
[27]     0.0    0.00    0.00    1814         free_element(element*) [27]
-----------------------------------------------
                0.00    0.00     245/1814        affect_atom(char*, int, int, composition*, element*, int) [37]
                0.00    0.00     604/1814        add_element(formula*, composition*) [18]
                0.00    0.00     965/1814        copy_composition(composition*, int) [33]
[28]     0.0    0.00    0.00    1814         copy_one_element(element*) [28]
                0.00    0.00    1814/1814        copy_isotop(isotop*, int) [26]
-----------------------------------------------
                0.00    0.00       1/1061        fprintf_ascq_me_results_table_form(_IO_FILE*) [134]
                0.00    0.00      46/1061        fusion_peptide(peptide*, peptide*) [45]
                0.00    0.00      56/1061        fprintf_ascq_me_peptide_scoring(_IO_FILE*) [133]
                0.00    0.00      90/1061        optimized_isotopic_distribution(formula*, int) [5]
                0.00    0.00      93/1061        peptide_charge_weight() [46]
                0.00    0.00      94/1061        fprintf_ascq_me_results(_IO_FILE*) [117]
                0.00    0.00     681/1061        digest() [138]
[29]     0.0    0.00    0.00    1061         get_weight(formula*) [29]
-----------------------------------------------
                0.00    0.00       2/719         load_boolean_keyword(_IO_FILE*, char*) [75]
                0.00    0.00       6/719         load_float_keyword(_IO_FILE*, char*) [67]
                0.00    0.00       9/719         load_int_keyword(_IO_FILE*, char*) [61]
                0.00    0.00      10/719         load_string_keyword(_IO_FILE*, char const*) [2]
                0.00    0.00     692/719         get_element_table(char const*, int*) [98]
[30]     0.0    0.00    0.00     719         read_line(_IO_FILE*) [30]
                0.00    0.00     719/3646        read_until(_IO_FILE*, char) [20]
-----------------------------------------------
                0.00    0.00      44/469         free_formula(formula*) [55]
                0.00    0.00      56/469         free_all_modifications() [115]
                0.00    0.00      90/469         optimized_isotopic_distribution(formula*, int) [5]
                0.00    0.00     279/469         free_n_formula(formula*, int) [71]
[31]     0.0    0.00    0.00     469         free_composition(composition*, int) [31]
                0.00    0.00    1814/1814        free_element(element*) [27]
-----------------------------------------------
                0.00    0.00      93/381         sort_and_init_with_peptide_scoring() [137]
                0.00    0.00     288/381         compute_equivalent_peptides() [127]
[32]     0.0    0.00    0.00     381         get_peptide_sequence(int) [32]
-----------------------------------------------
                0.00    0.00      90/374         optimized_isotopic_distribution(formula*, int) [5]
                0.00    0.00     284/374         copy_formula(formula*) [35]
[33]     0.0    0.00    0.00     374         copy_composition(composition*, int) [33]
                0.00    0.00     965/1814        copy_one_element(element*) [28]
-----------------------------------------------
                0.00    0.00     317/317         digest() [138]
[34]     0.0    0.00    0.00     317         cpl_isCleavage2(cleavePointList*, char, char, char) [34]
-----------------------------------------------
                0.00    0.00       2/284         get_formula_from_sequence(char*) [76]
                0.00    0.00       3/284         get_amino_acid_table(char const*, element*, int) [109]
                0.00    0.00      93/284         get_formulae_of_peptides(int*) [121]
                0.00    0.00      93/284         get_peptide_formula_from_index(int) [48]
                0.00    0.00      93/284         add_protein(char*, char*, complex*, double) [84]
[35]     0.0    0.00    0.00     284         copy_formula(formula*) [35]
                0.00    0.00     284/374         copy_composition(composition*, int) [33]
-----------------------------------------------
                0.00    0.00       6/250         fprint_configuration(_IO_FILE*) [108]
                0.00    0.00     244/250         optimized_isotopic_distribution(formula*, int) [5]
[36]     0.0    0.00    0.00     250         get_atom_quantity(char const*) [36]
-----------------------------------------------
                0.00    0.00     245/245         read_formula(char const*, element*, int) [43]
[37]     0.0    0.00    0.00     245         affect_atom(char*, int, int, composition*, element*, int) [37]
                0.00    0.00     245/1814        copy_one_element(element*) [28]
                0.00    0.00      23/23          closest_int(double) [57]
-----------------------------------------------
                0.00    0.00     244/244         optimized_isotopic_distribution(formula*, int) [5]
[38]     0.0    0.00    0.00     244         get_X_atom(char*) [38]
-----------------------------------------------
                0.00    0.00      21/192         cftfsub(int, double*, double*) [66]
                0.00    0.00     171/192         cftbsub(int, double*, double*) [54]
[39]     0.0    0.00    0.00     192         cftmdl(int, int, double*, double*) [39]
-----------------------------------------------
                0.00    0.00       1/187         fprint_configuration(_IO_FILE*) [108]
                0.00    0.00      93/187         get_formulae_of_peptides(int*) [121]
                0.00    0.00      93/187         get_peptide_formula_from_index(int) [48]
[40]     0.0    0.00    0.00     187         get_peptide_charge_formula() [40]
-----------------------------------------------
                0.00    0.00       1/171         read_spectrum(char const*) [9]
                0.00    0.00       3/171         main [1]
                0.00    0.00       3/171         optimized_isotopic_distribution(formula*, int) [5]
                0.00    0.00     164/171         init_distrib() [4]
[41]     0.0    0.00    0.00     171         is_verbose_mode_activated() [41]
-----------------------------------------------
                0.00    0.00      48/141         new_peptides_with_missed_cleavages(int, int*) [136]
                0.00    0.00      93/141         free_util_digestion() [105]
[42]     0.0    0.00    0.00     141         free_peptide(peptide*) [42]
-----------------------------------------------
                0.00    0.00       1/139         set_peptide_charge(char const*) [104]
                0.00    0.00       6/139         init_distrib() [4]
                0.00    0.00      10/139         init_peptid_link(element*, int) [96]
                0.00    0.00      56/139         load_modifications(char const*) [103]
                0.00    0.00      66/139         get_amino_acid_table(char const*, element*, int) [109]
[43]     0.0    0.00    0.00     139         read_formula(char const*, element*, int) [43]
                0.00    0.00     245/245         affect_atom(char*, int, int, composition*, element*, int) [37]
-----------------------------------------------
                0.00    0.00      46/93          new_peptides_with_missed_cleavages(int, int*) [136]
                0.00    0.00      47/93          fusion_peptide(peptide*, peptide*) [45]
[44]     0.0    0.00    0.00      93         copy_peptide(peptide*) [44]
-----------------------------------------------
                0.00    0.00      93/93          new_peptides_with_missed_cleavages(int, int*) [136]
[45]     0.0    0.00    0.00      93         fusion_peptide(peptide*, peptide*) [45]
                0.00    0.00      47/93          copy_peptide(peptide*) [44]
                0.00    0.00      46/3284        get_util_formula(char const*) [22]
                0.00    0.00      46/93          peptide_charge_weight() [46]
                0.00    0.00      46/1061        get_weight(formula*) [29]
-----------------------------------------------
                0.00    0.00      46/93          fusion_peptide(peptide*, peptide*) [45]
                0.00    0.00      47/93          digest() [138]
[46]     0.0    0.00    0.00      93         peptide_charge_weight() [46]
                0.00    0.00      93/1061        get_weight(formula*) [29]
-----------------------------------------------
                0.00    0.00      93/93          optimized_isotopic_distribution(formula*, int) [5]
[47]     0.0    0.00    0.00      93         is_equivalent_to_another(int) [47]
-----------------------------------------------
                0.00    0.00      93/93          sort_and_init_with_peptide_scoring() [137]
[48]     0.0    0.00    0.00      93         get_peptide_formula_from_index(int) [48]
                0.00    0.00    2050/5370        add_formula(formula*, formula*) [19]
                0.00    0.00    1118/3284        get_util_formula(char const*) [22]
                0.00    0.00     932/2815        get_amino_acid(char) [23]
                0.00    0.00      93/284         copy_formula(formula*) [35]
                0.00    0.00      93/187         get_peptide_charge_formula() [40]
-----------------------------------------------
                0.00    0.00       1/64          set_peptide_charge(char const*) [104]
                0.00    0.00       1/64          tables_initialisation() [113]
                0.00    0.00       6/64          init_distrib() [4]
                0.00    0.00      56/64          load_modifications(char const*) [103]
[49]     0.0    0.00    0.00      64         get_element_table() [49]
-----------------------------------------------
                0.00    0.00       1/64          set_peptide_charge(char const*) [104]
                0.00    0.00       1/64          tables_initialisation() [113]
                0.00    0.00       6/64          init_distrib() [4]
                0.00    0.00      56/64          load_modifications(char const*) [103]
[50]     0.0    0.00    0.00      64         get_element_table_size() [50]
-----------------------------------------------
                0.00    0.00       7/64          init_distrib() [4]
                0.00    0.00      57/64          optimized_isotopic_distribution(formula*, int) [5]
[51]     0.0    0.00    0.00      64         cdft(int, int, double*, int*, double*) [51]
                0.00    0.00      57/57          bitrv2conj(int, int*, double*) [53]
                0.00    0.00      57/57          cftbsub(int, double*, double*) [54]
                0.00    0.00       7/8           bitrv2(int, int*, double*) [63]
                0.00    0.00       7/7           cftfsub(int, double*, double*) [66]
                0.00    0.00       1/1           makewt(int, int*, double*) [140]
-----------------------------------------------
                0.00    0.00       7/64          cftfsub(int, double*, double*) [66]
                0.00    0.00      57/64          cftbsub(int, double*, double*) [54]
[52]     0.0    0.00    0.00      64         cft1st(int, double*, double*) [52]
-----------------------------------------------
                0.00    0.00      57/57          cdft(int, int, double*, int*, double*) [51]
[53]     0.0    0.00    0.00      57         bitrv2conj(int, int*, double*) [53]
-----------------------------------------------
                0.00    0.00      57/57          cdft(int, int, double*, int*, double*) [51]
[54]     0.0    0.00    0.00      57         cftbsub(int, double*, double*) [54]
                0.00    0.00     171/192         cftmdl(int, int, double*, double*) [39]
                0.00    0.00      57/64          cft1st(int, double*, double*) [52]
-----------------------------------------------
                0.00    0.00       1/44          free_util_digestion() [105]
                0.00    0.00       1/44          fprintf_ascq_me_results(_IO_FILE*) [117]
                0.00    0.00       1/44          fprintf_ascq_me_results_table_form(_IO_FILE*) [134]
